data_id,age,sex,birth_order,caregiver_education,ethnicity,is_norming,words_produced,words_understood
391242,18,Female,Second,Graduate,,true,109,150
391243,18,Male,First,Graduate,,true,18,185
391244,18,Male,Second,Some College,,true,104,224
391245,18,Male,First,College,,true,125,209
391246,18,Female,First,Some College,,true,129,283
391247,17,Male,Second,Some College,,true,65,324
391248,17,Female,First,Some College,,true,60,189
391249,17,Male,First,Some Secondary,,true,32,143
391250,17,Female,Second,Some College,,true,39,297
391251,17,Male,Fourth,Some Graduate,,true,13,73
391252,17,Female,First,College,,true,31,183
391253,17,Male,First,College,,true,61,169
391254,18,Female,Second,Secondary,,true,44,269
391255,18,Male,Third,Some College,,true,92,236
391256,18,Female,First,Some College,,true,22,90
391257,17,Male,Second,Secondary,,true,22,90
391258,18,Male,First,Graduate,,true,35,128
391259,17,Female,First,Graduate,,true,79,287
391260,17,Male,First,College,,true,18,327
391261,18,Female,Second,Graduate,,true,124,272
391262,18,Female,First,College,,true,118,238
391263,18,Male,Third,Graduate,,true,36,268
391264,17,Male,First,Some College,,true,145,208
391265,18,Female,First,Some College,,true,235,395
391266,17,Male,First,College,,true,174,261
391267,17,Male,Second,College,,true,83,200
391268,17,Male,First,Some College,,true,2,163
391269,18,Female,Second,Graduate,,true,149,276
391270,17,Female,First,College,,true,27,197
391271,17,Male,Second,Some College,,true,73,269
391272,17,Male,Second,Secondary,,true,110,275
391273,17,Female,First,Some College,,true,70,255
391274,18,Male,First,Some College,,true,23,124
391275,17,Male,First,College,,true,114,274
391276,17,Male,Second,Some College,,true,23,144
391277,17,Male,First,Secondary,,true,103,279
391278,17,Female,,Some College,,true,82,203
391279,18,Female,First,Graduate,,true,165,363
391280,17,Female,First,Secondary,,true,79,275
391281,17,Male,First,Some College,,true,164,278
391282,18,Female,Second,Secondary,,true,66,323
391283,17,Female,Second,Graduate,,true,46,279
391284,17,Male,Second,Secondary,,true,48,213
391285,18,Female,Second,College,,true,36,210
391286,18,Male,First,College,,true,49,261
391287,17,Female,Third,Secondary,,true,15,251
391288,18,Male,First,Secondary,,true,19,231
391289,17,Male,Second,College,,true,23,142
391290,17,Male,First,College,,true,9,230
391291,17,Male,First,Some College,,true,16,98
391292,18,Male,First,College,,true,67,290
391293,18,Female,First,College,,true,92,292
391294,18,Female,Second,College,,true,35,241
391295,17,Female,Second,Some College,,true,45,297
391296,18,Male,Third,Some College,,true,12,68
391297,18,Female,Third,College,,true,46,190
391298,17,Female,Third,College,,true,45,127
391299,17,Male,First,Some College,,true,20,207
391300,18,Female,First,Secondary,,true,262,336
391301,17,Female,Second,College,,true,91,221
391302,18,Male,Second,College,,true,11,174
391303,17,Female,Fourth,Secondary,,true,293,340
391304,18,Female,First,College,,true,7,129
391305,18,Male,Second,Graduate,,true,24,244
391306,18,Female,First,Some College,,true,151,278
391307,17,Male,First,College,,true,198,304
391308,18,Male,First,Some College,,true,40,161
391309,17,Female,First,Graduate,,true,26,178
391310,18,Male,First,Some College,,true,13,127
391311,18,Female,First,Some College,,true,126,326
391312,18,Male,First,College,,true,58,242
391313,18,Male,First,Graduate,,true,24,244
391314,17,Male,Third,Some College,,true,6,64
391315,17,Female,First,Some College,,true,51,205
391316,18,Male,Second,College,,true,3,163
391317,18,Male,First,College,,true,174,325
391318,18,Male,First,College,,true,17,259
391319,18,Male,Third,Graduate,,true,9,246
391321,18,Male,First,Secondary,,true,61,197
391322,18,Female,First,Graduate,,true,7,177
391323,18,Male,Second,Some College,,true,4,223
391324,18,Male,First,Secondary,,true,158,285
391325,17,Female,Second,Some Graduate,Hispanic,true,78,332
391326,18,Female,First,Secondary,,true,17,140
391329,17,Male,Third,Graduate,,true,68,228
391331,18,Female,Third,College,,true,327,361
391332,18,Female,First,Some College,Hispanic,true,152,330
391333,18,Male,Sixth,Secondary,,true,117,296
391334,18,Female,Fourth,Some College,,true,20,225
391335,18,Male,First,Secondary,,true,21,97
391336,18,Male,First,Graduate,,true,28,314
391337,18,Male,First,Secondary,,true,71,328
391338,18,Male,First,Graduate,,true,40,373
391339,18,Female,First,College,,true,106,287
391340,18,Male,First,Secondary,,true,58,303
391341,18,Female,First,College,,true,178,322
391342,18,Male,First,Graduate,,true,18,252
391343,18,Male,Second,Some College,,true,190,315
391344,18,Female,First,College,,true,196,367
391345,18,Female,First,Secondary,,true,164,267
391346,18,Female,First,College,,true,95,344
391347,18,Male,First,Some College,,true,91,233
391349,18,Female,First,Secondary,Hispanic,true,31,125
391350,18,Female,First,Some College,,true,31,163
391351,18,Female,Second,College,,true,28,191
391352,18,Female,First,Some Graduate,,true,97,275
391353,18,Female,Fourth,College,,true,48,195
391354,18,Female,First,College,,true,207,395
391355,18,Female,First,Some Graduate,,true,291,378
391359,18,Female,First,College,,true,82,234
391361,18,Male,First,Some Graduate,,true,145,311
391364,9,Male,First,Some College,Hispanic,true,1,10
391365,18,Male,Second,Graduate,,true,29,314
391366,14,Male,Second,Graduate,Hispanic,true,29,112
391367,12,Female,First,Graduate,,true,14,240
391368,15,Female,Second,College,,true,190,294
391369,13,Female,First,College,,true,34,148
391370,12,Male,First,Secondary,,true,16,62
391371,13,Female,First,Secondary,,true,31,119
391372,12,Female,First,College,,true,1,75
391373,12,Male,First,Secondary,,true,3,55
391374,18,Female,Second,College,,true,23,119
391375,13,Male,First,Secondary,,true,34,135
391376,16,Female,Second,College,,true,72,129
391377,14,Male,First,Secondary,,true,4,65
391378,12,Female,First,Secondary,,true,6,85
391379,17,Female,First,Graduate,,true,37,158
391380,14,Male,First,Some Graduate,,true,2,36
391381,14,Male,First,Some College,,true,15,148
391382,12,Female,Third,Secondary,,true,0,30
391384,16,Male,First,Some College,,true,1,105
391385,13,Male,First,Some College,,true,0,78
391386,16,Female,Fourth,Some College,,true,104,189
391387,13,Male,Second,Some College,,true,15,80
391388,11,Male,,College,,true,0,181
391389,11,Female,,College,Hispanic,true,3,8
391390,11,Male,,Secondary,,true,12,36
391391,12,Female,,Secondary,,true,15,111
391392,10,Male,,College,,true,8,46
391393,10,Male,,Secondary,,true,10,40
391394,16,Female,,Secondary,,true,14,140
391395,15,Male,,Secondary,,true,14,125
391396,9,Female,,Some Secondary,,true,0,16
391397,9,Female,,Some Secondary,,true,12,216
391398,10,Female,,Some College,,true,3,28
391399,14,Female,,Secondary,,true,0,2
391400,10,Male,,College,,true,0,14
391403,12,Female,First,Secondary,,true,14,53
391404,12,Male,First,Secondary,,true,5,94
391405,18,Female,First,College,,true,194,367
391406,13,Male,Second,Some Graduate,,true,40,110
391407,12,Female,First,College,,true,21,79
391408,18,Male,Second,Graduate,,true,118,207
391409,15,Female,Second,College,,true,106,326
391410,12,Male,First,Secondary,,true,5,98
391411,17,Male,Second,College,,true,43,259
391412,13,Male,First,College,,true,31,152
391413,12,Female,Second,Graduate,,true,5,185
391414,16,Male,Second,College,,true,38,191
391415,13,Male,Second,Secondary,,true,31,114
391416,12,Male,First,Graduate,,true,11,44
391417,12,Male,Third,Some Secondary,,true,16,118
391418,13,Male,Fourth,Secondary,,true,1,24
391419,12,Male,Fourth,Secondary,,true,1,19
391421,10,Female,Fourth,Some College,,true,0,15
391422,10,Male,Fourth,Some College,,true,0,17
391423,10,Male,Third,Graduate,,true,6,59
391424,11,Female,Second,College,,true,4,35
391425,10,Male,First,Some Secondary,Hispanic,true,1,9
391426,10,Female,Second,Graduate,,true,1,86
391427,10,Male,First,Some College,,true,15,42
391428,10,Male,Second,Some College,,true,4,40
391429,10,Female,First,Graduate,,true,6,18
391430,10,Male,First,College,,true,1,25
391431,10,Female,Sixth,Some Secondary,Hispanic,true,0,10
391432,10,Male,Third,College,,true,0,4
391433,11,Female,First,College,,true,6,51
391434,10,Female,Third,Secondary,,true,15,40
391435,10,Male,Third,Graduate,,true,4,17
391436,10,Male,First,Some College,,true,2,125
391437,10,Male,First,College,,true,2,30
391438,10,Male,First,College,,true,2,104
391439,10,Female,First,Some College,,true,4,68
391440,10,Male,First,College,,true,0,90
391441,10,Female,Sixth,Some Secondary,,true,7,109
391442,10,Female,,Graduate,,true,5,54
391443,10,Male,First,Some College,,true,4,40
391444,10,Male,First,College,,true,0,14
391445,10,Female,Third,Some Secondary,,true,2,48
391446,10,Male,First,Some College,,true,7,18
391447,10,Male,Second,Some Secondary,,true,2,39
391448,10,Male,Third,Secondary,,true,0,26
391449,10,Female,First,Secondary,,true,5,25
391450,11,Female,First,Some Secondary,,true,3,142
391451,10,Female,First,College,,true,8,80
