run,accelerates,acceleration_ratio,early_rate,peak_rate,peak_step,decelerates_at_end,final_known,span_start,span_end,quarter1,quarter2,quarter3,quarter4
baseline,True,12.385,49.33,611.0,4004,True,10000,2354,5551,961,3656,3867,1315
neutral,True,12.385,49.33,611.0,4004,True,10000,2354,5551,961,3656,3867,1315
benefit,True,30.295,47.5,1439.0,3495,True,10000,2345,4561,587,3662,4724,827
cost,True,6.76,57.25,387.0,4611,True,9989,2361,6515,1274,3385,3494,1636
frequency_child,True,35.556,3.6,128.0,9140,True,2000,3790,9258,71,184,476,1230
frequency_adult,True,70.667,3.0,212.0,8947,True,2000,5397,9073,43,136,428,1353
sampling,True,1.553,47.0,73.0,12803,True,1951,5303,63755,808,655,322,127
dist_bimodal,True,3.355,95.67,321.0,2969,True,4000,2419,6248,1794,166,136,1823
dist_exponential,False,1.266,82.13,104.0,392,True,3960,42,15288,2429,947,370,134
dist_gamma,True,7.629,35.0,267.0,4038,True,4000,2588,5701,638,1740,1183,357
dist_gaussian,True,14.654,17.33,254.0,4095,True,4000,2345,5572,380,1467,1532,540
dist_lognormal,True,7.037,35.67,251.0,3760,True,3999,2610,5805,715,1829,1063,311
dist_multifactor,True,3.799,66.33,252.0,3619,True,3997,2769,5817,1024,1749,905,240
dist_uniform,False,1.155,174.0,201.0,3999,True,4000,2849,5159,1019,962,989,948
